date,asset,amount,revenue_pln,cost_basis_pln,gain_loss_pln,price_method,source,counterparty_asset,counterparty_amount,lots_consumed,year
2025-02-14,USDC,3000.20099,11898.73,12219.22,-320.49,nbp_eur,binance,EUR,2856.7,1,2025
2025-03-04,USDT,3999.96099,15891.75,16819.40,-927.65,nbp_eur,binance,EUR,3799.4,2,2025
2025-03-20,USDC,6000.16896,23193.91,23718.69,-524.78,nbp_eur,binance,EUR,5529.6,3,2025
2025-03-25,USDT,1999.9416,7729.30,8572.75,-843.45,nbp_eur,binance,EUR,1847.7,1,2025
2025-03-27,USDT,6000.0315,23146.15,26481.66,-3335.51,nbp_eur,binance,EUR,5552.5,6,2025
2025-04-11,USDC,6321.9609,23661.02,24509.13,-848.11,nbp_eur,binance,EUR,5548.5,7,2025
2025-04-23,USDC,23190.65552,87609.79,93369.32,-5759.52,nbp_eur,binance,EUR,20469.1,12,2025
2025-05-06,USDC,2999.924,11351.92,12402.36,-1050.43,nbp_eur,binance,EUR,2654.8,5,2025
2025-05-19,USDC,6000.21213,22603.84,24167.39,-1563.55,nbp_eur,binance,EUR,5332.1,4,2025
2025-06-05,USDC,2999.96532,11239.49,11997.76,-758.27,nbp_eur,binance,EUR,2627.4,1,2025
2025-08-07,DOT,2.10093092,29.03,0.00,29.03,nbp_eur,kraken,EUR,6.7805,1,2025
