date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2021-05-15T10:04:04.347900+00:00,ftx,2021-05-15 10:04:04.347900,buy,SNX,5,0.001,SNX,USD,107.25,FTX spot trade
2021-05-15T10:04:04.348305+00:00,ftx,2021-05-15 10:04:04.348305,buy,SNX,2.9,0.00058,SNX,USD,62.205,FTX spot trade
2021-05-15T10:10:12.134129+00:00,ftx,2021-05-15 10:10:12.134129,buy,SNX,12.5,0.0025,SNX,USD,266.25,FTX spot trade
2021-05-15T10:14:48.274829+00:00,ftx,2021-05-15 10:14:48.274829,buy,SNX,14.3,0.00286,SNX,USD,303.16,FTX spot trade
2021-05-15T10:17:53.942836+00:00,ftx,2021-05-15 10:17:53.942836,buy,SNX,14.4,0.00288,SNX,USD,302.4,FTX spot trade
2021-05-15T10:26:47.626386+00:00,ftx,2021-05-15 10:26:47.626386,buy,SNX,13.1,0.00262,SNX,USD,273.79,FTX spot trade
2021-05-15T10:27:17.707323+00:00,ftx,2021-05-15 10:27:17.707323,buy,SNX,10.7,0.00214,SNX,USD,222.56,FTX spot trade
2021-05-15T10:28:07.266344+00:00,ftx,2021-05-15 10:28:07.266344,buy,SNX,8,0.0016,SNX,USD,165.6,FTX spot trade
2021-05-15T10:29:43.129087+00:00,ftx,2021-05-15 10:29:43.129087,buy,SNX,12.1,0.00847,SNX,USD,251.61345,FTX spot trade
2021-05-15T10:37:54.551348+00:00,ftx,2984230,withdrawal,SNX,95.07493,0,,,0,FTX withdrawal 2984230
2021-05-18T08:57:13.440668+00:00,ftx,3061099,withdrawal,CEL,5,0,,,0,FTX withdrawal 3061099
2021-05-18T20:24:37.913971+00:00,ftx,3077949,withdrawal,CEL,565.32756,0,,,0,FTX withdrawal 3077949
2021-05-21T21:01:24.834452+00:00,ftx,,fiat_deposit,USD,2348.41,0,,,0,FTX Circle deposit
2021-05-21T21:01:24.834452+00:00,ftx,,funding_fee,USD,68.4,0,,,0,FTX Circle deposit fee
