date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2024-02-20T08:31:34+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-02-22T08:42:00+00:00,kraken,LZEFYQ-GOMNS-46JUAC,staking_reward,DOT,0.00340912,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-02-26T11:04:11+00:00,kraken,LW27DK-QBFYX-DQ5TUQ,deposit,USDC,45428.837449,0,,,0,Kraken deposit (stable_coin)
2024-02-26T11:04:11+00:00,kraken,LRLNKK-JUMLW-CTVEPW,deposit,USDC,5,0,,,0,Kraken deposit (stable_coin)
2024-02-26T12:13:52+00:00,kraken,LNXTYQ-BD5OO-FXR2WB,sell,USDC,45433.8375,618.59,EUR,EUR,41858.19,Kraken Trade
2024-02-26T12:14:35+00:00,kraken,LODE2J-HIDJY-4PNUAB,fiat_withdrawal,EUR,41238.6,1,EUR,,0,Kraken withdrawal (fiat)
2024-02-29T07:26:58+00:00,kraken,LJIF5D-COQTQ-6TU4DW,staking_reward,DOT,0.00341765,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-03-06T22:48:39+00:00,kraken,L2K3ZT-JRNRS-GL6SQG,deposit,USDC,6000.0012,0,,,0,Kraken deposit (stable_coin)
2024-03-06T22:58:38+00:00,kraken,LTALIO-MP7VM-RIZLIZ,sell,USDC,6000.0011,81.28,EUR,EUR,5499.67,Kraken Trade
2024-03-06T22:59:18+00:00,kraken,LSVQLH-ODBPD-5XLJZ5,fiat_withdrawal,EUR,1999,1,EUR,,0,Kraken withdrawal (fiat)
2024-03-06T22:59:36+00:00,kraken,LII7ZU-7YO2O-OQDQLZ,fiat_withdrawal,EUR,3417.39,1,EUR,,0,Kraken withdrawal (fiat)
2024-03-07T07:50:28+00:00,kraken,LP56B5-5RCKI-KEM2WF,staking_reward,DOT,0.00347026,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-03-07T15:15:02+00:00,kraken,LZAKTG-Q4ZWA-Y5NM42,earn_allocation,DOT,-1.91692938,0,,,0,Kraken earn migration (staking_on_chain)
2024-03-07T15:15:02+00:00,kraken,LKF37A-NBSIT-26G5OV,earn_allocation,DOT,1.91692938,0,,,0,Kraken earn migration (crypto)
2024-03-10T21:20:43+00:00,kraken,LZNPFS-L2NDN-PHZER5,earn_reward,DOT,0.001654672,0,,,0,Kraken earn reward (crypto)
2024-03-14T05:24:35+00:00,kraken,LYDCVZ-AO3WQ-IUQCOK,staking_reward,DOT,0.00023827,0,,,0,Kraken staking (crypto)
2024-03-17T21:20:50+00:00,kraken,LCTYS2-SSQQW-CTQK23,earn_reward,DOT,0.003577062,0,,,0,Kraken earn reward (crypto)
2024-03-21T10:41:42+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-03-24T21:20:34+00:00,kraken,LDW4NG-IQBKH-3Q2IVJ,earn_reward,DOT,0.0036523487,0,,,0,Kraken earn reward (crypto)
2024-03-25T17:29:01+00:00,kraken,LGQ2G5-NYKXG-W53LM4,deposit,USDC,6000.0006,0,,,0,Kraken deposit (stable_coin)
2024-03-26T07:58:31+00:00,kraken,LM3JV5-63O75-FAGERP,deposit,USDC,1E+1,0,,,0,Kraken deposit (stable_coin)
2024-03-26T07:58:31+00:00,kraken,LRAAGI-P7INV-4BZAI2,deposit,USDC,32636.270885,0,,,0,Kraken deposit (stable_coin)
2024-03-26T08:14:43+00:00,kraken,LOZNP6-I5PJE-BQXF2L,sell,USDC,38646.2716,526.87,EUR,EUR,35651.23,Kraken Trade
2024-03-26T08:16:42+00:00,kraken,L67JVP-AOW5W-SSUSEM,fiat_withdrawal,EUR,30999,1,EUR,,0,Kraken withdrawal (fiat)
